241220_232620-kakao: avg_Velocity: 23m/s, # of api call: 3, Is in allowance range? : True, -9.866666666666667
241220_232620-Tmap: avg_Velocity: 23m/s, # of api call: 2, Is in allowance range? : True, -9.466666666666667
241220_232619-kakao: avg_Velocity: 28m/s, # of api call: 3, Is in allowance range? : True, -12.65
241220_232619-Tmap: avg_Velocity: 28m/s, # of api call: 3, Is in allowance range? : True, -10.633333333333333
241220_232620-kakao: avg_Velocity: 21m/s, # of api call: 3, Is in allowance range? : True, -11.216666666666667
241220_232620-Tmap: avg_Velocity: 21m/s, # of api call: 4, Is in allowance range? : True, -8.65
241220_232619-kakao: avg_Velocity: 23m/s, # of api call: 4, Is in allowance range? : True, -11.083333333333334
241220_232619-Tmap: avg_Velocity: 23m/s, # of api call: 3, Is in allowance range? : True, -12.683333333333334
241220_232618-kakao: avg_Velocity: 4m/s, # of api call: 3, Is in allowance range? : True, -10.566666666666666
241220_232618-Tmap: avg_Velocity: 4m/s, # of api call: 3, Is in allowance range? : True, -10.666666666666666
241220_232620-kakao: avg_Velocity: 17m/s, # of api call: 3, Is in allowance range? : True, -12.716666666666667
241220_232620-Tmap: avg_Velocity: 17m/s, # of api call: 3, Is in allowance range? : True, -10.283333333333333
241220_232620-kakao: avg_Velocity: 15m/s, # of api call: 4, Is in allowance range? : True, -10.983333333333333
241220_232620-Tmap: avg_Velocity: 15m/s, # of api call: 3, Is in allowance range? : True, -8.916666666666666
241220_232620-kakao: avg_Velocity: 11m/s, # of api call: 5, Is in allowance range? : True, -8.566666666666666
241220_232620-Tmap: avg_Velocity: 11m/s, # of api call: 4, Is in allowance range? : True, -9.133333333333333
241220_232620-kakao: avg_Velocity: 20m/s, # of api call: 4, Is in allowance range? : True, -11.45
241220_232620-Tmap: avg_Velocity: 20m/s, # of api call: 4, Is in allowance range? : True, -8.816666666666666
241220_232620-kakao: avg_Velocity: 22m/s, # of api call: 3, Is in allowance range? : True, -10.6
241220_232620-Tmap: avg_Velocity: 22m/s, # of api call: 4, Is in allowance range? : True, -8.15
241221_001950-kakao: avg_Velocity: 30m/s, # of api call: 2, Is in allowance range? : True, -12.783333333333333
241221_001950-Tmap: avg_Velocity: 30m/s, # of api call: 3, Is in allowance range? : True, -11.583333333333334
241221_002401-kakao: avg_Velocity: 13m/s, # of api call: 3, Is in allowance range? : True, -11.283333333333333
241221_002401-Tmap: avg_Velocity: 13m/s, # of api call: 3, Is in allowance range? : True, -9.066666666666666
241221_002727-kakao: avg_Velocity: 9m/s, # of api call: 3, Is in allowance range? : True, -11.75
241221_002727-Tmap: avg_Velocity: 9m/s, # of api call: 2, Is in allowance range? : True, -11.283333333333333
241221_002330-kakao: avg_Velocity: 25m/s, # of api call: 6, Is in allowance range? : True, -11.666666666666666
241221_002330-Tmap: avg_Velocity: 25m/s, # of api call: 6, Is in allowance range? : True, -12.033333333333333
241221_002759-kakao: avg_Velocity: 26m/s, # of api call: 5, Is in allowance range? : True, -10.966666666666667
241221_002759-Tmap: avg_Velocity: 26m/s, # of api call: 5, Is in allowance range? : True, -12.766666666666667
241221_002756-kakao: avg_Velocity: 17m/s, # of api call: 6, Is in allowance range? : True, -10.7
241221_002756-Tmap: avg_Velocity: 17m/s, # of api call: 6, Is in allowance range? : True, -9.883333333333333
241221_003012-kakao: avg_Velocity: 22m/s, # of api call: 5, Is in allowance range? : True, -12.55
241221_003012-Tmap: avg_Velocity: 22m/s, # of api call: 6, Is in allowance range? : True, -10.616666666666667
241221_002712-kakao: avg_Velocity: 27m/s, # of api call: 7, Is in allowance range? : True, -10.783333333333333
241221_002712-Tmap: avg_Velocity: 27m/s, # of api call: 7, Is in allowance range? : True, -11.683333333333334
241221_003546-kakao: avg_Velocity: 27m/s, # of api call: 5, Is in allowance range? : True, -10.866666666666667
241221_003546-Tmap: avg_Velocity: 27m/s, # of api call: 4, Is in allowance range? : True, -11.866666666666667
241221_003252-kakao: avg_Velocity: 16m/s, # of api call: 7, Is in allowance range? : True, -10.55
241221_003252-Tmap: avg_Velocity: 16m/s, # of api call: 7, Is in allowance range? : True, -12.366666666666667
241221_012056-kakao: avg_Velocity: 30m/s, # of api call: 3, Is in allowance range? : True, -10.6
241221_012056-Tmap: avg_Velocity: 30m/s, # of api call: 3, Is in allowance range? : True, -9.533333333333333
241221_025224-kakao: avg_Velocity: 23m/s, # of api call: 3, Is in allowance range? : True, -11.8
241221_025224-Tmap: avg_Velocity: 23m/s, # of api call: 2, Is in allowance range? : True, -12.0
241221_025226-kakao: avg_Velocity: 7m/s, # of api call: 3, Is in allowance range? : True, -11.233333333333333
241221_025226-Tmap: avg_Velocity: 7m/s, # of api call: 3, Is in allowance range? : True, -9.283333333333333
241221_025223-kakao: avg_Velocity: 28m/s, # of api call: 4, Is in allowance range? : True, -12.783333333333333
241221_025223-Tmap: avg_Velocity: 28m/s, # of api call: 5, Is in allowance range? : True, -9.233333333333333
241221_025223-kakao: avg_Velocity: 17m/s, # of api call: 5, Is in allowance range? : True, -10.816666666666666
241221_025223-Tmap: avg_Velocity: 17m/s, # of api call: 3, Is in allowance range? : True, -11.716666666666667
241221_025223-kakao: avg_Velocity: 20m/s, # of api call: 6, Is in allowance range? : True, -8.2
241221_025223-Tmap: avg_Velocity: 20m/s, # of api call: 5, Is in allowance range? : True, -11.283333333333333
241221_035158-kakao: avg_Velocity: 1m/s, # of api call: 3, Is in allowance range? : True, -11.4
241221_035158-Tmap: avg_Velocity: 1m/s, # of api call: 3, Is in allowance range? : True, -11.25
241221_035509-kakao: avg_Velocity: 20m/s, # of api call: 3, Is in allowance range? : True, -10.433333333333334
241221_035509-Tmap: avg_Velocity: 20m/s, # of api call: 3, Is in allowance range? : True, -10.55
241221_035159-kakao: avg_Velocity: 19m/s, # of api call: 5, Is in allowance range? : True, -10.1
241221_035159-Tmap: avg_Velocity: 19m/s, # of api call: 5, Is in allowance range? : True, -10.716666666666667
241221_034556-kakao: avg_Velocity: 12m/s, # of api call: 8, Is in allowance range? : True, -10.25
241221_034556-Tmap: avg_Velocity: 12m/s, # of api call: 7, Is in allowance range? : True, -12.75
241221_034554-kakao: avg_Velocity: 16m/s, # of api call: 7, Is in allowance range? : True, -11.783333333333333
241221_034554-Tmap: avg_Velocity: 16m/s, # of api call: 8, Is in allowance range? : True, -10.733333333333333
241221_044528-kakao: avg_Velocity: 23m/s, # of api call: 2, Is in allowance range? : True, -11.85
241221_044528-Tmap: avg_Velocity: 23m/s, # of api call: 2, Is in allowance range? : True, -10.866666666666667
241221_045129-kakao: avg_Velocity: 12m/s, # of api call: 5, Is in allowance range? : True, -10.95
241221_045129-Tmap: avg_Velocity: 12m/s, # of api call: 5, Is in allowance range? : True, -10.316666666666666
